mem   nofork      noforklo  noforkhi  yesfork     yesforklo  yesforkhi
128   10.24416    0.118885	0.14419	  10.24032	  0.383995	 0.23993	
256   22.62699    0.27509	  0.30771	  22.60499	  0.435265	 0.32476	
512   47.45653    0.668455	0.78062	  47.54033	  0.832205	 0.54987	
1024  97.09977    1.363445	1.44793	  96.45592	  1.43072	   1.28148	
1536  146.95077   1.390245  1.72113   145.97956   2.01136    1.78349
